Comic,Word,Themes
Kanan,Friend,Goal
Kanan,Friend,Letter
Kanan,Friend,Sadness/Depression
Kanan,Friend,Good friend
Kanan,Friend,Favors
Kanan,Time,Travel
Kanan,Time,Small talk
Kanan,Time,"""Time pass"""
Kanan,Time,Hobbies
Kanan,Play,Caesar
Kanan,Play,Video games
Kanan,Play,Cricket
Kanan,Play,Stop playing
Kanan,Play,Band
Kanan,Play,
Kanan,Dog,Caesar (dog's name)
Kanan,Dog,Bored
Kanan,Dog,Breeding
Kanan,Goal,Letter
Kanan,Goal,Life
Kanan,Goal,Accomplish
Kanan,Goal,Dog
Kanan,Goal,Health
Kanan,Goal,Studies
Kanan,Goal,Friends
Kanan,Goal,Achieving
Kanan,Goal,End
Kanan,Letter,Friend 
Kanan,Letter,Letter writing
Kanan,Letter,School assignment
Kanan,Letter,Losing
Kanan,Letter,Video games
Kanan,Letter,Goal
Kanan,Letter,Future self
Kanan,Letter,Metaphor
Kanan,Metaphor,Caesar 
Kanan,Metaphor,Band
Kanan,Metaphor,Simile
Kanan,Metaphor,Letter
Kanan,Life,Goals
Kanan,Life,Side missions
Kanan,Life,Friend
Kanan,Life,Difficulties
Vir,Indian,Culture
Vir,Indian,Childhood
Vir,Indian,Stereotype (smart)
Vir,Indian,Mom
Vir,Indian,Mythology
Vir,Indian,Woman
Vir,World,Travel
Vir,World,Stereotype (smart)
Vir,World,Social media
Vir,World,Religion
Vir,Believe,Stereotype (smart)
Vir,Believe,God
Vir,Believe,Lie
Vir,Believe,Rights
Vir,Story ,Religion
Vir,Story ,Mythology/Ramayan
Vir,Woman,Feminism
Vir,Woman,Wear
Vir,Woman,World
Vir,Woman,Beauty
Kenny,Mom,Parents 
Kenny,Mom,Growing up
Kenny,Mom,Hating parents
Kenny,Mom,Guests
Kenny,Mom,Maid
Kenny,Woman,Friend
Kenny,Woman,Maid
Kenny,House/home,Mom
Kenny,House/home,Maid
Kenny,House/home,Dad
Kenny,Dance,Growing up
Kenny,Die,Maid
Kenny,Friend,Growing up
Mulaney,Horse,hospital
Mulaney,Horse,Trump as president
Mulaney,wife,having kids
Mulaney,wife,people changing
Mulaney,wife,"religion,"
Mulaney,wife,donating to Goodwill
Mulaney,kid,grade school
Mulaney,kid,assembly
Mulaney,kid,kidnapping
Mulaney,kid,self-defense
Mulaney,kid,aging
Mulaney,kid,niceness
Mulaney,kid,sleepover
Mulaney,kid,religious
Mulaney,kid,upbringings
Mulaney,kid,non-parenthood
Mulaney,college,alumni donations
Mulaney,college,dying young
Mulaney,college,people changing
Mulaney,money,self-defense
Mulaney,money,college
Mulaney,assembly,grade school
Mulaney,assembly,stand-up
Mulaney,assembly,cocaine
Mulaney,assembly,bullying
Mulaney,assembly,kidnapping
Rock,kid,racist police
Rock,kid,parenthood
Rock,kid,orientation
Rock,kid,bullying
Rock,kid,divorce
Rock,white,racist police
Rock,white,racism
Rock,white,American justice system
Rock,black,police
Rock,black,freshman orientation
Rock,black,racism
Rock,black,manhood
Rock,black,family court
Rock,woman,phones
Rock,woman,porn
Rock,woman,housewives
Rock,woman,relationships
Rock,woman,cheating
Rock,woman,gendered double standards
Rock,woman,sex
Rock,school/bullying,life
Rock,school/bullying,Facebook
Rock,school/bullying,Trump
Rock,school/bullying,freshman orientation
Rock,school/bullying,racism
Rock,cop,racism
Rock,cop,guns
Rock,cop,stab
Rock,cop,God
Rock,fuck/sex,relationships
Rock,play,relationships
Rock,play,band
Rock,play,tambourine
Rock,play,housewives
Rock,play,racism
Rock,world,exceptionality
Rock,world,kids
Rock,world,Trump
Kate Berlant,Camera,parasocial relationships
Kate Berlant,Camera,gendered double standards
Kate Berlant,Life,sex
Kate Berlant,Life,barf
Kate Berlant,Life,choice
Kate Berlant,Life,time
Kate Berlant,woman,liberating disorganization
Kate Berlant,woman,cosmetics
Kate Berlant,woman,president
Kate Berlant,woman,hypersexualization
Kate Berlant,woman,desexualization
Kate Berlant,woman,solitude
Kate Berlant,woman,productivity
Kate Berlant,woman,ancestral rage
Kate Berlant,woman,imagination
Kate Berlant,family,wheat
Kate Berlant,family,privilege
Kate Berlant,family,spin class
Kate Berlant,family,incest
Kate Berlant,family,therapy
Kate Berlant,family,karaoke
Kate Berlant,family,voyeurism
Kate Berlant,hard,comedic influences
Kate Berlant,hard,rare artistry
Kate Berlant,hard,time
Kate Berlant,hard,spotlight
Kate Berlant,hard,ending the show
