,,
Comic,Word,Themes
Kanan,Friend,Goal
Kanan,Friend,Letter
Kanan,Friend,Sadness/Depression
Kanan,Friend,Good friend
Kanan,Friend,Favors
Kanan,Time,Travel
Kanan,Time,Small talk
Kanan,Time,"""Time pass"""
Kanan,Time,Hobbies
Kanan,Play,Caesar
Kanan,Play,Video games
Kanan,Play,Cricket
Kanan,Play,Stop playing
Kanan,Play,Band
Kanan,Play,
Kanan,Dog,Caesar (dog's name)
Kanan,Dog,Bored
Kanan,Dog,Breeding
Kanan,Goal,Letter
Kanan,Goal,Life
Kanan,Goal,Accomplish
Kanan,Goal,Dog
Kanan,Goal,Health
Kanan,Goal,Studies
Kanan,Goal,Friends
Kanan,Goal,Achieving
Kanan,Goal,End
Kanan,Letter,Friend 
Kanan,Letter,Letter writing
Kanan,Letter,School assignment
Kanan,Letter,Losing
Kanan,Letter,Video games
Kanan,Letter,Goal
Kanan,Letter,Future self
Kanan,Letter,Metaphor
Kanan,Metaphor,Caesar 
Kanan,Metaphor,Band
Kanan,Metaphor,Simile
Kanan,Metaphor,Letter
Kanan,Life,Goals
Kanan,Life,Side missions
Kanan,Life,Friend
Kanan,Life,Difficulties
Vir,Indian,Culture
Vir,Indian,Childhood
Vir,Indian,Stereotype (smart)
Vir,Indian,Mom
Vir,Indian,Mythology
Vir,Indian,Woman
Vir,World,Travel
Vir,World,Stereotype (smart)
Vir,World,Social media
Vir,World,Religion
Vir,Believe,Stereotype (smart)
Vir,Believe,God
Vir,Believe,Lie
Vir,Believe,Rights
Vir,Story ,Religion
Vir,Story ,Mythology/Ramayan
Vir,Woman,Feminism
Vir,Woman,Wear
Vir,Woman,World
Vir,Woman,Beauty
Kenny,Mom,Parents 
Kenny,Mom,Growing up
Kenny,Mom,Hating parents
Kenny,Mom,Guests
Kenny,Mom,Maid
Kenny,Woman/Female,Friend
Kenny,Woman/Female,Maid
Kenny,House/home,Mom
Kenny,House/home,Maid
Kenny,House/home,Dad
Kenny,Dance,Growing up
Kenny,Die,Maid
Kenny,Friend,Growing up
