Comic,Word,Themes
Kanan,friend,goal
Kanan,friend,letter
Kanan,friend,sadness
Kanan,friend,good friend
Kanan,friend,favors
Kanan,time,travel
Kanan,time,small talk
Kanan,time,"""time pass"""
Kanan,time,hobbies
Kanan,play,caesar
Kanan,play,video games
Kanan,play,cricket
Kanan,play,stop playing
Kanan,play,band
Kanan,play,
Kanan,dog,Caesar (dog's name)
Kanan,dog,bored
Kanan,dog,breeding
Kanan,goal,letter
Kanan,goal,life
Kanan,goal,accomplish
Kanan,goal,dog
Kanan,goal,health
Kanan,goal,studies
Kanan,goal,friends
Kanan,goal,achieving
Kanan,goal,end
Kanan,letter,friend 
Kanan,letter,letter writing
Kanan,letter,school assignment
Kanan,letter,losing
Kanan,letter,video games
Kanan,letter,goal
Kanan,letter,future self
Kanan,letter,metaphor
Kanan,metaphor,Caesar 
Kanan,metaphor,band
Kanan,metaphor,simile
Kanan,metaphor,letter
Kanan,life,goals
Kanan,life,side missions
Kanan,life,friend
Kanan,life,difficulties
Vir,Indian,culture
Vir,Indian,childhood
Vir,Indian,stereotype 
Vir,Indian,mom
Vir,Indian,mythology
Vir,Indian,woman
Vir,World,travel
Vir,World,stereotype 
Vir,World,social media
Vir,World,religion
Vir,believe,stereotype 
Vir,believe,God
Vir,believe,lie
Vir,believe,rights
Vir,Story ,religion
Vir,Story ,mythology
Vir,woman,feminism
Vir,woman,wear
Vir,woman,world
Vir,woman,beauty
Kenny,woman,parents 
Kenny,mom,growing up
Kenny,mom,hating parents
Kenny,mom,guests
Kenny,mom,maid
Kenny,woman,friend
Kenny,woman,maid
Kenny,house/home,mom
Kenny,house/home,maid
Kenny,house/home,dad
Kenny,dance,growing up
Kenny,die,maid
Kenny,friend,growing up
Mulaney,horse,hospital
Mulaney,horse,Trump as president
Mulaney,wife,having kids
Mulaney,wife,people changing
Mulaney,wife,"religion,"
Mulaney,wife,donating to Goodwill
Mulaney,kid,grade school
Mulaney,kid,assembly
Mulaney,kid,kidnapping
Mulaney,kid,self-defense
Mulaney,kid,aging
Mulaney,kid,niceness
Mulaney,kid,sleepover
Mulaney,kid,religious
Mulaney,kid,upbringings
Mulaney,kid,non-parenthood
Mulaney,college,alumni donations
Mulaney,college,dying young
Mulaney,college,people changing
Mulaney,money,self-defense
Mulaney,money,college
Mulaney,assembly,grade school
Mulaney,assembly,stand-up
Mulaney,assembly,cocaine
Mulaney,assembly,bullying
Mulaney,assembly,kidnapping
Rock,kid,racist police
Rock,kid,parenthood
Rock,kid,orientation
Rock,kid,bullying
Rock,kid,divorce
Rock,white,racist police
Rock,white,racism
Rock,white,American justice system
Rock,black,police
Rock,black,freshman orientation
Rock,black,racism
Rock,black,manhood
Rock,black,family court
Rock,woman,phones
Rock,woman,porn
Rock,woman,housewives
Rock,woman,relationships
Rock,woman,cheating
Rock,woman,gendered double standards
Rock,woman,sex
Rock,school/bullying,life
Rock,school/bullying,Facebook
Rock,school/bullying,Trump
Rock,school/bullying,freshman orientation
Rock,school/bullying,racism
Rock,cop,racism
Rock,cop,guns
Rock,cop,stab
Rock,cop,God
Rock,fuck/sex,relationships
Rock,play,relationships
Rock,play,band
Rock,play,tambourine
Rock,play,housewives
Rock,play,racism
Rock,world,exceptionality
Rock,world,kids
Rock,world,Trump
Kate Berlant,camera,parasocial relationships
Kate Berlant,camera,gendered double standards
Kate Berlant,life,sex
Kate Berlant,life,barf
Kate Berlant,life,choice
Kate Berlant,life,time
Kate Berlant,woman,liberating disorganization
Kate Berlant,woman,cosmetics
Kate Berlant,woman,president
Kate Berlant,woman,hypersexualization
Kate Berlant,woman,desexualization
Kate Berlant,woman,solitude
Kate Berlant,woman,productivity
Kate Berlant,woman,ancestral rage
Kate Berlant,woman,imagination
Kate Berlant,family,wheat
Kate Berlant,family,privilege
Kate Berlant,family,spin class
Kate Berlant,family,incest
Kate Berlant,family,therapy
Kate Berlant,family,karaoke
Kate Berlant,family,voyeurism
Kate Berlant,hard,comedic influences
Kate Berlant,hard,rare artistry
Kate Berlant,hard,time
Kate Berlant,hard,spotlight
Kate Berlant,hard,ending the show
